Product Group,Product Category,Printing Pages / Sides,Variables,Size,Material Specification,Finish,"Tax Label","Tax Rate","Unit Price",Unit ,"Ink Cost","Sheet Cost","Lamination Cost",OR Cost,Input - Height (mm),Input - Width (mm),Quantity 
Display,CAD Cut Vinyl ,0,Cut To Shape,Zero,Metallic Gold - 0,No Lamination,VAT,20%,£13.43,sq/m,£0.00,£8.12,£0.00,£3.56,,,
Display,CAD Cut Vinyl ,0,Cut To Shape,Zero,Metallic Silver - 0,No Lamination,VAT,20%,£13.43,sq/m,£0.00,£8.12,£0.00,£3.56,,,
Display,CAD Cut Vinyl ,0,Rectangle/Square Shape,Zero,Standard - 0,No Lamination,VAT,20%,£10.68,sq/m,£0.00,£7.12,£0.00,£3.56,,,
Display,CAD Cut Vinyl ,0,Rectangle/Square Shape,Zero,Metallic Gold - 0,No Lamination,VAT,20%,£11.68,sq/m,£0.00,£8.12,£0.00,£3.56,,,
Display,CAD Cut Vinyl ,0,Rectangle/Square Shape,Zero,Metallic Silver - 0,No Lamination,VAT,20%,£11.68,sq/m,£0.00,£8.12,£0.00,£3.56,,,
Display,Window Vinyl,1,Rectangle/Square Shape,Zero,Printed,Lamination Matt,VAT,20%,£10.63,sq/m,£3.66,£2.85,£2.69,£1.43,,,
Display,Window Vinyl,1,Cut To Shape,Zero,Printed,Lamination Matt,VAT,20%,£13.82,sq/m,£3.66,£2.85,£2.69,£1.43,,,
Display,Window Vinyl,1,Rectangle/Square Shape,Zero,Clear,No Lamination,VAT,20%,£7.85,sq/m,£3.66,£2.76,£0.00,£1.43,,,
Display,Window Vinyl,1,Cut To Shape,Zero,Clear,No Lamination,VAT,20%,£9.03,sq/m,£3.66,£2.76,£0.00,£1.43,,,
Display,Window Vinyl,1,Rectangle/Square Shape,Zero,Clear - Backed with white,No Lamination,VAT,20%,£9.33,sq/m,£3.66,£2.76,£1.48,£1.43,,,
Display,Window Vinyl,1,Cut To Shape,Zero,Clear - Backed with white,No Lamination,VAT,20%,£10.73,sq/m,£3.66,£2.76,£1.48,£1.43,,,
Display,Contravision ,1,Standard Cut,Zero,No Colour,No Lamination,VAT,20%,£13.06,sq/m,£4.39,£7.53,£0.00,£1.14,,,
Display,Window 'Cling' Vinyl,1,Cut To Shape,Zero,Clear,No Lamination,VAT,20%,£10.57,sq/m,£3.66,£4.10,£0.00,£1.43,,,
Display,Window 'Cling' Vinyl,1,Cut To Shape,Zero,White,No Lamination,VAT,20%,£10.57,sq/m,£3.66,£4.10,£0.00,£1.43,,,
Display,Window 'Cling' Vinyl,1,Rectangle/Square Shape,Zero,Clear,No Lamination,VAT,20%,£9.19,sq/m,£3.66,£4.10,£0.00,£1.43,,,
Display,Window 'Cling' Vinyl,1,Rectangle/Square Shape,Zero,White,No Lamination,VAT,20%,£9.19,sq/m,£3.66,£4.10,£0.00,£1.43,,,
Display,Window Vinyl,1,Rectangle/Square Shape,Zero,Frosted,No Lamination,VAT,20%,£18.02,sq/m,£0.00,£13.03,£0.00,£4.99,,,
Display,Window Vinyl,1,Cut To Shape,Zero,Frosted,No Lamination,VAT,20%,£21.62,sq/m,£0.00,£13.03,£0.00,£4.99,,,
Display,Vinyl Magnetic,1,Rectangle/Square Shape,Zero,No Colour,No Lamination,VAT,20%,£13.75,sq/m,£3.66,£8.66,£0.00,£1.43,,,
Display,Vinyl Magnetic,1,Cut To Shape,Zero,No Colour,No Lamination,VAT,20%,£15.81,sq/m,£3.66,£8.66,£0.00,£1.43,,,
Display,HQT Seat Stickers,1,Rectangle/Square Shape,Zero,No Colour,No Lamination,VAT,20%,£12.48,sq/m,£3.66,£7.39,£0.00,£1.43,,,
Display,HQT Seat Stickers,1,Cut To Shape,Zero,No Colour,No Lamination,VAT,20%,£14.35,sq/m,£3.66,£7.39,£0.00,£1.43,,,
Display,Acrylic Panels ,1,Cut To Shape,3mm,Printed,No Lamination,VAT,20%,£34.67,sq/m,£3.66,£25.06,£0.00,£1.43,,,
Display,Acrylic Panels ,1,Cut To Shape,3mm,Frosted,No Lamination,VAT,20%,£39.86,sq/m,£3.66,£25.06,£4.51,£1.43,,,
Display,Acrylic Panels ,1,Cut To Shape,4mm,Printed,No Lamination,VAT,20%,£40.83,sq/m,£3.66,£30.41,£0.00,£1.43,,,
Display,Acrylic Panels ,1,Cut To Shape,4mm,Frosted,No Lamination,VAT,20%,£46.01,sq/m,£3.66,£30.41,£4.51,£1.43,,,
Display,Acrylic Panels ,1,Cut To Shape,5mm,Printed,No Lamination,VAT,20%,£48.48,sq/m,£3.66,£37.07,£0.00,£1.43,,,
Display,Acrylic Panels ,1,Cut To Shape,5mm,Frosted,No Lamination,VAT,20%,£53.67,sq/m,£3.66,£37.07,£4.51,£1.43,,,
Display,Acrylic Panels ,1,Cut To Shape,10mm,Printed,No Lamination,VAT,20%,£86.83,sq/m,£3.66,£70.41,£0.00,£1.43,,,
Display,Acrylic Panels ,1,Cut To Shape,10mm,Frosted,No Lamination,VAT,20%,£92.01,sq/m,£3.66,£70.41,£4.51,£1.43,,,
Display,Acrylic Panels ,2,Cut To Shape,3mm,Printed,No Lamination,VAT,20%,£54.27,sq/m,£3.66,£25.06,£0.00,£1.43,,,
Display,Acrylic Panels ,2,Cut To Shape,3mm,Frosted,No Lamination,VAT,20%,£62.39,sq/m,£3.66,£25.06,£4.51,£1.43,,,
Display,Acrylic Panels ,2,Cut To Shape,4mm,Printed,No Lamination,VAT,20%,£63.90,sq/m,£3.66,£30.41,£0.00,£1.43,,,
Display,Acrylic Panels ,2,Cut To Shape,4mm,Frosted,No Lamination,VAT,20%,£72.01,sq/m,£3.66,£30.41,£4.51,£1.43,,,
Display,Acrylic Panels ,2,Cut To Shape,5mm,Printed,No Lamination,VAT,20%,£75.89,sq/m,£3.66,£37.07,£0.00,£1.43,,,
Display,Acrylic Panels ,2,Cut To Shape,5mm,Frosted,No Lamination,VAT,20%,£84.00,sq/m,£3.66,£37.07,£4.51,£1.43,,,
Display,Acrylic Panels ,2,Cut To Shape,10mm,Printed,No Lamination,VAT,20%,£135.90,sq/m,£3.66,£70.41,£0.00,£1.43,,,
Display,Acrylic Panels ,2,Cut To Shape,10mm,Frosted,No Lamination,VAT,20%,£144.02,sq/m,£3.66,£70.41,£4.51,£1.43,,,
Display,Acrylic Panels ,1,Rectangle/Square Shape,3mm,Printed,No Lamination,VAT,20%,£30.15,sq/m,£3.66,£25.06,£0.00,£1.43,,,
Display,Acrylic Panels ,1,Rectangle/Square Shape,3mm,Frosted,No Lamination,VAT,20%,£34.66,sq/m,£3.66,£25.06,£4.51,£1.43,,,
Display,Acrylic Panels ,1,Rectangle/Square Shape,4mm,Printed,No Lamination,VAT,20%,£35.50,sq/m,£3.66,£30.41,£0.00,£1.43,,,
Display,Acrylic Panels ,1,Rectangle/Square Shape,4mm,Frosted,No Lamination,VAT,20%,£40.01,sq/m,£3.66,£30.41,£4.51,£1.43,,,
Display,Acrylic Panels ,1,Rectangle/Square Shape,5mm,Printed,No Lamination,VAT,20%,£42.16,sq/m,£3.66,£37.07,£0.00,£1.43,,,
Display,Acrylic Panels ,1,Rectangle/Square Shape,5mm,Frosted,No Lamination,VAT,20%,£46.67,sq/m,£3.66,£37.07,£4.51,£1.43,,,
Display,Acrylic Panels ,1,Rectangle/Square Shape,10mm,Printed,No Lamination,VAT,20%,£75.50,sq/m,£3.66,£70.41,£0.00,£1.43,,,
Display,Acrylic Panels ,1,Rectangle/Square Shape,10mm,Frosted,No Lamination,VAT,20%,£80.01,sq/m,£3.66,£70.41,£4.51,£1.43,,,
Display,Acrylic Panels ,2,Rectangle/Square Shape,3mm,Printed,No Lamination,VAT,20%,£48.24,sq/m,£3.66,£25.06,£0.00,£1.43,,,
Display,Acrylic Panels ,2,Rectangle/Square Shape,3mm,Frosted,No Lamination,VAT,20%,£55.46,sq/m,£3.66,£25.06,£4.51,£1.43,,,
Display,Acrylic Panels ,2,Rectangle/Square Shape,4mm,Printed,No Lamination,VAT,20%,£56.80,sq/m,£3.66,£30.41,£0.00,£1.43,,,
Display,Acrylic Panels ,2,Rectangle/Square Shape,4mm,Frosted,No Lamination,VAT,20%,£64.01,sq/m,£3.66,£30.41,£4.51,£1.43,,,
